Time North East
11:30:03 4734024.099 268520.672
11:30:05 4734024.096 268516.140
11:30:07 4734024.278 268511.638
11:30:09 4734027.572 268507.354
11:30:11 4734027.865 268505.041
11:30:13 4734031.052 268500.252
11:30:15 4734030.716 268496.461
11:30:17 4734034.962 268493.256
11:30:19 4734033.641 268489.364
11:30:21 4734037.840 268484.791
11:30:23 4734040.776 268482.863
11:30:25 4734041.276 268478.075
11:30:27 4734044.177 268473.550
11:30:29 4734044.158 268471.341
11:30:31 4734047.486 268466.967
11:30:33 4734047.718 268462.807
11:30:35 4734051.403 268460.654
11:30:37 4734051.577 268455.468
11:30:39 4734050.866 268450.868
11:30:41 4734054.008 268448.354
11:30:43 4734053.678 268444.381
11:30:45 4734057.725 268439.735
11:30:47 4734057.551 268435.722
11:30:49 4734061.470 268433.053
11:30:51 4734060.913 268428.480
11:30:53 4734061.051 268424.363
11:30:55 4734064.802 268422.098
11:30:57 4734064.798 268417.612
11:30:59 4734068.132 268413.033
11:31:01 4734068.025 268410.707
11:31:03 4734071.198 268406.328
11:31:05 4734071.447 268401.668
11:31:07 4734071.445 268397.114
11:31:09 4734074.596 268395.239
11:31:11 4734075.163 268390.294
11:31:13 4734074.740 268386.341
11:31:15 4734078.742 268383.970
11:31:17 4734081.680 268379.241
11:31:19 4734081.470 268374.453
11:31:21 4734084.313 268372.544
11:31:23 4734084.823 268368.394
11:31:25 4734088.504 268366.377
11:31:27 4734091.961 268360.915
11:31:29 4734090.704 268356.956
11:31:31 4734094.726 268354.882
11:31:33 4734094.982 268350.018
11:31:35 4734094.628 268347.684
11:31:37 4734097.810 268343.054
11:31:39 4734097.627 268341.135
11:31:41 4734101.351 268336.911
11:31:43 4734101.719 268334.237
11:31:45 4734104.411 268329.454
11:31:47 4734104.131 268324.914
11:31:49 4734104.236 268322.709
11:31:51 4734107.556 268318.562
11:31:53 4734108.032 268316.346
11:31:55 4734111.331 268311.903
11:31:57 4734111.412 268309.492
11:31:59 4734114.459 268305.200
11:32:01 4734114.820 268300.886
11:32:03 4734118.307 268298.202
11:32:05 4734117.742 268293.857
11:32:07 4734121.188 268292.401
